first,last,job,phone,email,client_id,order_id,order_date,order_week,order_year,item_id,category,subcategory,unit_price,unit_cost,unit_weight,qty,line_number
Joseph,Jordan,Government social research officer,680.657.3271x16477,jordan_joseph_4684@gibson.net,26185,8466380,2023-03-26,12,2023,XBZ49450-02-4X,electronics,cabling,329.58,195.05,20.56,46,4
Timothy,Powell,Insurance underwriter,(806)913-6676x7547,powellpattern@hunter.com,28331,8386735,2023-04-25,17,2023,EDB59816-66-3E,decor,plants,68.08,44.68,5.97,121,8
Melanie,Murphy,Civil Service administrator,+1-207-848-8475x69824,melaniemurphy4036@spencer.com,54471,3312333,2023-04-15,15,2023,CME44581-16-8U,furniture,desks,50.4,42.96,0.53,529,0
Martin,Wheeler,Sub,203-494-6976,wheelermartin580@velazquez.com,95469,2622314,2023-04-01,13,2023,DZE97571-62-1X,furniture,stands,3.27,2.52,5.06,60,2
Anna,Hill,Environmental consultant,723.758.4611,ahill@gonzalez.com,61350,8198418,2023-01-24,4,2023,BUB22073-34-0E,furniture,tables,8.79,5.84,1.53,220,2
Melissa,Holland,Personal assistant,2806175102,holland_melissa@todd.net,88009,6707516,2023-01-11,2,2023,UBE13842-90-5A,software,accounting,18.28,12.68,4.25,77,2
Madison,Molina,Leisure centre manager,001-720-925-2576x938,madison.above.8014@archer.com,88930,1067244,2023-02-19,7,2023,MZZ08726-32-4E,consumables,paper products,14.23,12.02,0.25,27,0
Rebekah,Baker,"Engineer, maintenance",884-213-1272,rebekah.baker.3715@white.net,55914,5971980,2023-04-17,16,2023,ACC14956-68-0A,decor,misc,36.3,26.54,9.17,54,7
Samantha,Bailey,Petroleum engineer,(914)743-1418x60519,sbailey@young.com,42460,8981010,2023-01-11,2,2023,CEA34197-91-8D,consumables,paper products,27.83,24.97,5.25,54,5
Bryan,Reeves,"Solicitor, Scotland",+1-515-711-5348x987,reeves.participant.7298@smith.com,65687,5354246,2023-03-24,12,2023,DMA18077-14-5B,consumables,paper products,16.53,12.82,11.84,15,0
Bonnie,Odom,Ophthalmologist,(524)806-2383,blueodom5594@mason.com,91419,1776797,2023-04-22,16,2023,EBB79610-74-2A,decor,wall art,208.75,179.17,7.2,142,8
Michele,Johnson,Race relations officer,303-544-4504,johnson_teach@medina.com,94675,7380779,2023-03-12,10,2023,EUM61224-34-0X,consumables,kitchen supplies,18.29,14.52,12.42,36,1
Christopher,Hill,"Restaurant manager, fast food",+1-680-428-9866x33808,hillchristopher6648@reed-sheppard.biz,90604,5840317,2023-04-17,16,2023,MDB11336-71-2E,furniture,tables,29.03,27.0,0.85,599,1
William,Gibbs,Tour manager,931.839.2978x484,william.gibbs@chambers-cole.com,15536,1868003,2023-05-22,21,2023,ZBB37981-57-0A,software,accounting,122.15,76.81,1.17,242,3
Joseph,Murphy,Systems analyst,500-776-4563,murphy.stand.9698@wallace.com,50088,2533311,2023-01-22,3,2023,DCU57849-62-9U,furniture,seating,71.62,60.22,0.41,120,4
Ashley,Hernandez,Retail buyer,264-496-5412,ashley.later.185@hernandez-shaw.info,61647,1593687,2023-04-27,17,2023,CXM90136-19-0D,consumables,bathroom supplies,10.17,9.27,18.51,10,0
Sara,Reynolds,"Administrator, Civil Service",001-469-273-8963x37933,reynoldss@lamb.net,81576,8550054,2023-04-03,14,2023,BUB22073-34-0E,furniture,tables,8.79,5.84,1.53,14,4
Nicholas,Carter,Communications engineer,+1-550-864-1927,cartern@smith.com,76177,6784645,2023-02-22,8,2023,BEU77819-82-6U,consumables,pens,186.87,119.89,1.19,216,3
Stephanie,Green,Chartered accountant,+1-887-411-3317x7010,s.green@murphy-clay.com,20793,5967124,2023-05-01,18,2023,CBU49983-97-3B,furniture,tables,30.2,18.62,3.04,26,4
Tiffany,Huerta,Medical sales representative,(271)592-0960,huertatiffany7702@harris.com,90466,5348073,2023-05-23,21,2023,CDU54038-40-4C,consumables,misc,604.78,568.45,0.26,9,2
Audrey,Humphrey,"Accountant, chartered certified",(971)896-1981,aweight128@roy.com,97124,2832673,2023-05-16,20,2023,MBC13228-21-7U,decor,wall art,23.07,16.66,5.13,36,4
Reginald,Morton,Product/process development scientist,+1-963-375-7945x51345,mortonmusic3981@jordan.com,17699,2794965,2023-02-10,6,2023,CCB33677-08-9C,consumables,misc,15.56,13.96,3.32,26,5
Cynthia,Phillips,Retail merchandiser,(973)750-3163x709,c.phillips@erickson-stevens.com,83646,4137546,2023-04-07,14,2023,UMM63374-64-7M,software,accounting,136.6,124.25,6.58,122,0
Kenneth,Reyes,Software engineer,266.627.1094,reyes.kenneth.2508@poole-walker.com,81150,2492683,2023-04-09,14,2023,MXX42023-02-3M,furniture,stands,87.43,45.64,0.17,38,4
Bonnie,Odom,Ophthalmologist,(524)806-2383,blueodom5594@mason.com,91419,5880407,2023-03-23,12,2023,MEX67117-45-3X,decor,wall art,23.4,21.53,3.03,557,1
Krista,Mullins,Broadcast journalist,001-272-428-2350,mullins.krista@clark-spencer.com,87473,7257673,2023-04-10,15,2023,MAD28251-38-1A,consumables,bathroom supplies,458.73,283.94,14.38,12,0
Jeffrey,West,Consulting civil engineer,275.273.7253x448,yardjeffrey5918@walker-moody.com,34706,2777002,2023-03-21,12,2023,DEA36486-79-5M,consumables,misc,81.52,41.53,12.91,135,2
Pamela,Buckley,Printmaker,2552289876,pamelabuckley9269@tapia.biz,52037,9801678,2023-05-08,19,2023,DZE76619-25-1B,furniture,tables,109.75,88.73,0.86,37,3
Christopher,Rodriguez,"Buyer, industrial",001-723-752-6943,rodriguezchristopher@taylor.com,37542,3323596,2023-04-28,17,2023,ZUX38756-44-8X,consumables,kitchen supplies,0.91,0.64,6.41,40,3
Kathy,Rodriguez,Purchasing manager,+1-357-546-9002x6123,rodriguezkathy2987@mejia.com,81778,5643644,2023-04-16,15,2023,ZEZ79217-76-5E,furniture,seating,370.04,220.08,20.08,14,8
Christina,Schwartz,Chiropractor,265-829-3643,christinaschwartz9252@mcconnell.com,92089,2616545,2023-02-13,7,2023,MDA45663-58-3B,consumables,kitchen supplies,333.49,225.79,2.52,1617,8
Arthur,Mckinney,Radio broadcast assistant,318-497-4490x585,mckinneya1499@fuller.biz,23939,2149128,2023-01-17,3,2023,UZE69424-29-1A,consumables,bathroom supplies,20.68,15.03,3.47,1258,4
Cameron,Allen,Financial risk analyst,5004233823,allencultural1001@young.org,27458,2967683,2023-03-07,10,2023,XUC78582-36-0E,consumables,paper products,82.57,59.42,0.0,28,1
Jessica,Carroll,"Surveyor, mining",659-401-4364x7928,their.carroll.6497@gross.net,84710,8805519,2023-03-25,12,2023,MZZ55478-77-1A,consumables,pens,20.8,11.11,4.04,61,4
Kristen,Peterson,"Scientist, clinical (histocompatibility and immunogenetics)",(663)428-4715x8732,kpeterson@jones.com,57920,7842010,2023-04-19,16,2023,AEC69505-92-4M,furniture,tables,47.59,35.41,0.54,28,2
Mackenzie,Mejia,Heritage manager,648.613.3520x7514,mejiam3273@brooks.com,96954,7351325,2023-02-23,8,2023,DXE65138-03-4D,furniture,seating,199.38,171.01,3.15,77,2
John,Wheeler,"Investment banker, operational",2868087593,wheelerj483@howell-casey.com,32549,6798069,2023-04-21,16,2023,MUB94798-20-4C,electronics,telecom,31.1,24.94,3.17,250,1
John,Roberts,"Engineer, aeronautical",+1-474-794-9235x59596,roberts.john@hutchinson-brown.info,21474,2289527,2023-03-29,13,2023,AME10969-48-7D,consumables,paper products,33.72,30.08,2.01,22,4
Stephen,Bender,Logistics and distribution manager,953-372-4847x28064,benders7551@johnson-morris.org,14881,8903736,2023-05-16,20,2023,AAX75049-30-3A,consumables,kitchen supplies,251.68,141.7,6.8,126,0
Dean,Gomez,"Education officer, environmental",(690)635-0879x7354,dean.gomez@larsen.com,49743,7247052,2023-02-17,7,2023,BDX80155-32-9Z,consumables,kitchen supplies,26.19,20.51,0.78,177,0
Aaron,Martinez,Armed forces technical officer,283.652.2505x6088,aaron.martinez@morton.biz,19820,6915061,2023-04-18,16,2023,ZDX29223-32-0B,consumables,paper products,199.05,183.99,8.11,40,3
Natasha,Rojas,Ecologist,642-739-0438,rojasoffer@reeves.com,41656,5411992,2023-05-24,21,2023,ZXX07899-21-3M,software,accounting,68.31,45.51,3.53,205,1
John,Martin,Housing manager/officer,001-587-480-7862,martinletter@dunn-jensen.com,22833,2641065,2023-04-28,17,2023,XUB12331-18-1A,consumables,misc,30.4,25.88,2.0,80,4
Lori,Cruz,Research scientist (life sciences),687-767-2741x7653,cruzorganization3315@mclaughlin.com,61110,8937019,2023-05-14,19,2023,MZC70320-30-6X,furniture,stands,62.75,37.57,1.23,27,3
Susan,Wallace,Art therapist,427-265-8900x40667,party.wallace.6840@santiago.biz,34514,4561851,2023-02-09,6,2023,UZE69424-29-1A,consumables,bathroom supplies,20.68,15.03,3.47,16,3
Patrick,Espinoza,Recruitment consultant,3533882109,pespinoza@alvarado.com,95108,5722448,2023-03-12,10,2023,UZE69424-29-1A,consumables,bathroom supplies,20.68,15.03,3.47,79,0
Elizabeth,Potter,Adult nurse,(691)438-6890x19490,e.potter@harris.com,86040,7812491,2023-04-04,14,2023,UAE42174-00-7A,consumables,paper products,7.46,6.88,0.95,41,8
Michael,Burns,Retail manager,001-602-874-6624,exactlyburns3216@hayes-wright.com,29718,6859970,2023-03-11,10,2023,BMD74469-82-1B,consumables,paper products,247.99,222.48,0.19,88,0
Susan,Mitchell,"Therapist, sports",972.537.5063x2269,susanmitchell1151@ortiz.com,65748,6218773,2023-03-11,10,2023,DMX08533-64-4U,furniture,seating,117.86,106.94,4.4,145,0
Sarah,Roberts,Prison officer,(925)607-7742,ssituation526@aguilar-brown.info,33367,3868039,2023-02-13,7,2023,AUM78855-69-8C,consumables,bathroom supplies,63.78,37.88,3.8,16,4
Judy,Miller,Museum/gallery curator,543.729.1387,millerj4811@campbell.com,48554,1899027,2023-03-26,12,2023,MAX29422-46-3A,software,accounting,32.95,22.27,6.4,1716,3
Barbara,Hester,Camera operator,446-648-4635x25731,hester.site.3268@king.com,41491,5705009,2023-01-22,3,2023,CZB52353-47-0D,consumables,bathroom supplies,109.18,86.92,0.79,99,4
Isabella,Spencer,"Engineer, structural",793-561-3362x135,spencerisabella@white.com,86113,1706750,2023-01-04,1,2023,CXU60946-73-5B,consumables,bathroom supplies,136.13,111.47,5.65,10,2
Derek,Hale,Immigration officer,+1-393-272-0307x869,hale.d@esparza.biz,10435,8116949,2023-02-25,8,2023,CDZ05920-06-5M,electronics,cabling,4.68,2.94,1.12,2892,1
William,Hart,Legal executive,(836)750-9128x69847,w.hart.3869@ramos.com,31229,8693299,2023-03-03,9,2023,BDX80155-32-9Z,consumables,kitchen supplies,26.19,20.51,0.78,23,4
James,Atkins,Sports coach,677.418.8364,atkins.huge.354@deleon.com,61211,4826932,2023-05-24,21,2023,EZX36378-17-7A,consumables,bathroom supplies,53.17,39.52,4.18,14,1
James,Martin,"Education officer, community",589.315.4420x391,martin.j@robertson-dyer.com,46363,2778457,2023-04-17,16,2023,AUM78855-69-8C,consumables,bathroom supplies,63.78,37.88,3.8,31,2
Wendy,Doyle,Financial risk analyst,(446)281-8395x771,doylesite8038@wiley.net,10520,4733553,2023-03-11,10,2023,MCE82285-66-1X,consumables,bathroom supplies,173.16,156.54,1.1,91,4
Justin,White,Chiropodist,(409)374-9611x6621,justinwhite@robinson-adams.com,89502,3545667,2023-02-20,8,2023,UMD41020-16-5M,consumables,misc,12.91,9.78,1.46,25,5
Raymond,Valenzuela,"Engineer, chemical",724.425.6664x39276,r.valenzuela@brooks.com,96713,5433642,2023-03-28,13,2023,EBU35286-93-9X,consumables,kitchen supplies,292.64,272.51,11.27,17,4
Katie,Compton,Dramatherapist,410-659-2624,comptonkatie9635@smith.com,35902,7684060,2023-01-03,1,2023,MCA32244-20-1M,consumables,bathroom supplies,38.04,20.68,1.16,433,6
Jordan,Price,Local government officer,687.750.2141,pricej@donaldson-garcia.com,62227,3989744,2023-01-23,4,2023,XMM04819-64-6E,decor,plants,9.74,8.69,2.86,9,5
Anthony,Tucker,"Designer, blown glass/stained glass",+1-503-460-2669,tuckera@nguyen.com,32500,5845708,2023-03-17,11,2023,EUX51497-34-6B,consumables,bathroom supplies,175.21,162.27,13.83,18,3
Christina,Schwartz,Chiropractor,265-829-3643,christinaschwartz9252@mcconnell.com,92089,9824812,2023-01-04,1,2023,CXU57215-71-9M,consumables,kitchen supplies,127.77,96.82,4.84,665,4
Mackenzie,Mejia,Heritage manager,648.613.3520x7514,mejiam3273@brooks.com,96954,4294890,2023-04-13,15,2023,UAD83949-77-8U,consumables,paper products,170.33,105.07,2.82,182,7
John,Hernandez,Architectural technologist,268.259.7138,result.john.439@manning.com,14935,2801895,2023-05-09,19,2023,MCM87327-82-2U,consumables,kitchen supplies,7.24,5.52,2.86,38,7
Sara,Erickson,Actor,+1-944-446-1134,ericksonsara4512@moreno-mcpherson.com,44881,3909417,2023-01-23,4,2023,AED36322-86-8U,furniture,stands,141.4,131.96,1.89,107,1
Katie,Hernandez,Manufacturing engineer,4215550973,katie_scene@hart-smith.com,30489,4079077,2023-02-07,6,2023,BMZ34057-19-8B,decor,plants,5.24,4.32,2.88,44,3
Wanda,Solomon,Toxicologist,(311)767-4924,solomonwanda5962@ross.org,24485,7438926,2023-03-13,11,2023,CAZ83007-87-9M,decor,plants,46.72,43.59,4.67,6,8
Nicole,Cohen,Curator,+1-742-690-5827x6425,cohen_n@sullivan.net,47614,5586494,2023-03-01,9,2023,EXA50128-43-8B,software,accounting,310.36,200.41,21.39,324,3
Doris,Waters,Diagnostic radiographer,+1-757-791-7115x42695,watersdoris@mcguire.com,80977,8755450,2023-05-25,21,2023,BCE17418-48-8B,consumables,bathroom supplies,7.4,3.81,4.44,93,2
April,Trujillo,"Buyer, industrial",848.431.8066x052,trujillo.april@stephenson.net,97026,1092615,2023-01-04,1,2023,CCB77138-94-1M,software,logistics,454.34,316.29,1.17,67,4
Barry,Trujillo,"Journalist, newspaper",251-336-4062,trujilloincluding9709@kennedy-smith.com,66328,8220021,2023-04-13,15,2023,ACU12051-14-0X,consumables,pens,15.88,10.45,22.01,116,6
Melanie,Hendricks,Purchasing manager,561-473-1778x4424,hendricksteach503@pineda-grant.info,89081,8323312,2023-03-07,10,2023,MMZ75256-71-7M,software,project management,43.22,40.78,16.57,417,3
Michelle,Dunn,"Psychologist, prison and probation services",001-217-289-7328,dunnm263@pacheco.net,32240,4285103,2023-01-25,4,2023,XMM58179-13-2D,furniture,seating,310.36,280.49,12.0,186,3
Lisa,Riddle,Chartered management accountant,001-932-725-9686,riddlel1336@hamilton-cole.net,19904,9674022,2023-05-23,21,2023,AXB69408-25-3C,consumables,kitchen supplies,155.31,146.56,0.04,12,2
Alexandra,Young,Dietitian,265-666-3155x118,ayoung9158@stevens.com,38378,8483928,2023-03-27,13,2023,UMB25052-86-5A,consumables,misc,163.28,153.75,1.52,1119,3
Emily,White,"Producer, radio",001-750-271-6224x807,whitee@powell.com,86106,3662521,2023-05-16,20,2023,UAE18812-78-4C,consumables,bathroom supplies,116.87,77.0,1.82,17,7
Paul,Vasquez,"Teacher, special educational needs",(520)767-2543x5513,paul_vasquez@brown-middleton.biz,43361,8953448,2023-04-06,14,2023,UBM14577-65-0A,software,project management,12.15,6.34,11.0,255,1
Richard,Garcia,Medical physicist,602-824-5336x3777,garciaalways595@nelson-smith.org,52841,7244980,2023-02-26,8,2023,EUX51497-34-6B,consumables,bathroom supplies,175.21,162.27,13.83,32,0
Matthew,Orozco,Research scientist (maths),+1-259-213-7449x4333,orozcomatthew@carr.com,67407,9120719,2023-02-18,7,2023,XEX59828-58-8U,furniture,tables,375.93,295.64,0.06,130,0
Ryan,Morris,Analytical chemist,(739)584-3050x581,morrisryan6221@harrison.org,67005,2839222,2023-02-19,7,2023,AAZ22082-81-4Z,software,logistics,19.48,15.73,1.88,30,2
Roberto,Howard,"Surveyor, land/geomatics",311.284.4575,roberto.howard.1290@davis-reese.info,74112,5904645,2023-01-24,4,2023,MAD28251-38-1A,consumables,bathroom supplies,458.73,283.94,14.38,1475,6
Brooke,Baker,Tree surgeon,443-347-6249x95391,baker.analysis@hill.com,55696,3259378,2023-02-05,5,2023,CZB28228-41-7E,consumables,paper products,26.43,16.42,4.42,32,1
Nina,Mullen,Warden/ranger,001-595-635-1880x1626,mullennina3963@fox.info,71958,2164235,2023-03-08,10,2023,MCA32244-20-1M,consumables,bathroom supplies,38.04,20.68,1.16,16,4
Evan,Mason,Commercial art gallery manager,382-275-9131,evanmason@miller-randall.com,50281,7689505,2023-04-16,15,2023,BMC45732-78-3X,furniture,tables,31.99,19.58,8.28,594,4
Richard,Bauer,Lawyer,264.967.4340,bauer.price@miller-mahoney.com,92744,4585931,2023-03-14,11,2023,CBZ89457-17-5C,furniture,tables,57.06,37.57,2.43,33,4
Ashley,Hernandez,Retail buyer,264-496-5412,ashley.later.185@hernandez-shaw.info,61647,2827004,2023-01-10,2,2023,DUX14130-38-6U,consumables,kitchen supplies,13.25,11.75,7.61,28,9
Hannah,Orozco,Environmental consultant,7154065274,hannah.while.1904@anderson.biz,65434,5530734,2023-01-17,3,2023,MCC94069-98-4B,software,accounting,60.59,49.33,1.29,13,7
James,Taylor,"Engineer, energy",561-281-0407,taylorred@sparks.com,37212,4636437,2023-01-23,4,2023,XDA18116-89-4A,consumables,pens,24.95,15.09,1.49,47,5
Bryce,Cook,"Administrator, charities/voluntary organisations",2377288094,cookbryce@campbell.com,63780,3747959,2023-02-10,6,2023,MAD28251-38-1A,consumables,bathroom supplies,458.73,283.94,14.38,34,4
Marissa,Gray,Call centre manager,001-462-555-7668x9849,m_gray_7022@williams.org,92201,2064320,2023-02-13,7,2023,ABE59463-05-7E,software,project management,13.52,7.86,1.68,65,2
Cassandra,White,Public affairs consultant,843-924-7729x0270,whitecassandra8004@newton.net,24750,9900150,2023-01-18,3,2023,BXE82169-43-5A,consumables,bathroom supplies,162.73,141.67,0.2,434,1
Allison,Williams,Estate agent,(715)306-8478x61426,williamsspend@chavez-macdonald.com,21633,8386964,2023-04-10,15,2023,EMZ21189-78-0U,consumables,bathroom supplies,26.45,22.6,1.66,27,7
Michelle,Smith,"Therapist, drama",(822)251-2751x51533,smith.m.5154@patrick.org,68370,6490254,2023-04-25,17,2023,CZB28228-41-7E,consumables,paper products,26.43,16.42,4.42,534,6
Antonio,Hurley,"Chemist, analytical",(492)856-1495x173,hurleya@smith.com,77592,9934889,2023-02-21,8,2023,UAU23242-68-4B,decor,plants,485.97,294.19,2.93,84,3
Ana,Cunningham,Film/video editor,361-692-8469,cunningham.a@murphy.info,15647,3387569,2023-04-25,17,2023,ADB89726-97-4E,consumables,kitchen supplies,8.67,6.33,2.22,21,4
John,Hernandez,Architectural technologist,268.259.7138,result.john.439@manning.com,14935,2035340,2023-02-19,7,2023,UCX86104-19-0Z,consumables,misc,13.77,9.63,6.86,12,9
John,Wheeler,"Investment banker, operational",2868087593,wheelerj483@howell-casey.com,32549,1193154,2023-02-21,8,2023,XDU73429-99-9D,consumables,kitchen supplies,1.63,1.14,6.0,58,9
Ian,Bowman,"Designer, interior/spatial",539.929.4949x30396,bowman_manage@peterson.com,61482,8770540,2023-05-07,18,2023,EMX21429-07-6D,furniture,tables,7.98,6.26,7.05,36,6
Paul,Vasquez,"Teacher, special educational needs",(520)767-2543x5513,paul_vasquez@brown-middleton.biz,43361,2045807,2023-03-27,13,2023,XMZ38239-49-3D,furniture,stands,1.48,1.22,18.04,130,0
Philip,Gates,Photographer,247.214.9743x760,gatesphilip276@foley.com,75947,8958479,2023-03-07,10,2023,MAX29422-46-3A,software,accounting,32.95,22.27,6.4,54,7
Daniel,Carrillo,Education administrator,(752)355-9373x6657,pullcarrillo@wong-copeland.com,17254,5362196,2023-05-15,20,2023,XAC84481-18-9A,consumables,paper products,401.27,214.45,14.54,476,0
Mason,Daniels,Magazine journalist,(662)878-6867,danielsm3990@davis.com,69701,4324984,2023-01-12,2,2023,AED36322-86-8U,furniture,stands,141.4,131.96,1.89,270,4
Michael,Reid,Research scientist (maths),954-391-5797,reidtype@moreno.com,44699,5855412,2023-02-25,8,2023,AZZ67118-40-3X,consumables,pens,14.9,12.26,3.07,68,1
Mary,Bradley,"Radiographer, diagnostic",760-755-5494x04737,bradleym@perez-williams.com,37608,7254216,2023-02-08,6,2023,ZCA80565-13-8D,consumables,bathroom supplies,55.15,39.8,1.65,96,8
Abigail,Johnson,Financial trader,799.940.6761x0733,ajohnson5929@king.org,44673,1655163,2023-01-27,4,2023,BMC74341-95-1A,furniture,tables,233.74,211.69,5.16,27,4
Jennifer,Lewis,Agricultural consultant,9813732574,lewis.jennifer@becker-ford.info,62566,9658428,2023-02-12,6,2023,ZUM23964-68-6Z,consumables,paper products,13.65,10.22,0.79,357,3
Jose,Martinez,Physiological scientist,+1-936-839-4988x476,martinezjose6115@aguilar.info,65681,2571470,2023-01-18,3,2023,DDA06248-98-7Z,consumables,paper products,83.86,59.0,0.27,10,3
Denise,Sandoval,Field seismologist,(846)948-2280x04161,sandovald2214@lee.info,98974,5761689,2023-01-10,2,2023,AXA21454-66-5B,consumables,paper products,2.71,2.4,0.41,71,3
Gloria,Navarro,Audiological scientist,(481)651-9381,navarrogloria2626@lane.com,89110,5326120,2023-03-16,11,2023,ZME11428-11-1B,electronics,telecom,211.44,171.21,1.28,21,2
Isabella,Spencer,"Engineer, structural",793-561-3362x135,spencerisabella@white.com,86113,7153599,2023-05-08,19,2023,UBM14577-65-0A,software,project management,12.15,6.34,11.0,50,1
Melanie,Murphy,Civil Service administrator,+1-207-848-8475x69824,melaniemurphy4036@spencer.com,54471,3029342,2023-02-27,9,2023,BEC51046-75-7M,consumables,paper products,45.79,35.21,18.18,69,3
Sarah,Nunez,Chartered accountant,(569)621-9563x14526,nuneztechnology@wu-silva.com,27302,7846386,2023-04-07,14,2023,UUX03397-27-4C,consumables,misc,107.61,98.35,6.28,143,3
John,Hernandez,Architectural technologist,268.259.7138,result.john.439@manning.com,14935,5563782,2023-04-30,17,2023,AEA79684-71-0E,decor,wall art,5.62,4.65,3.46,26,5
Kelly,Foster,"Administrator, sports",001-722-916-4457x654,kfigure@anderson.com,16084,2740676,2023-02-15,7,2023,ABX84520-93-4A,software,project management,13.02,12.18,2.03,1625,1
Kyle,Williams,"Engineer, broadcasting (operations)",+1-432-234-2942,communitywilliams9024@taylor-padilla.biz,81012,8992685,2023-02-06,6,2023,BBZ97605-33-9C,furniture,stands,534.33,343.36,0.69,242,4
Julia,Sparks,Radio broadcast assistant,944.601.3485x62042,sparks.j.1751@wong-beltran.com,70995,9302618,2023-02-19,7,2023,UCX86104-19-0Z,consumables,misc,13.77,9.63,6.86,96,6
Darlene,Randolph,Research scientist (medical),+1-280-402-4855x6456,randolphdarlene@young-harper.biz,94420,8799226,2023-04-06,14,2023,MCU34023-31-7M,consumables,misc,60.92,57.13,1.07,3,1
Robert,Vargas,Air broker,4239811285,vargasfollow2362@hunt.com,83803,9111006,2023-05-13,19,2023,CCU64392-85-7A,furniture,tables,517.96,401.92,2.5,20,7
William,Hart,Legal executive,(836)750-9128x69847,w.hart.3869@ramos.com,31229,2381284,2023-02-04,5,2023,CED19908-07-8B,software,project management,199.73,183.93,9.62,169,4
Alexandra,Madden,Advice worker,9962550397,few_madden@luna.com,37937,2384320,2023-04-04,14,2023,XUB51883-77-9U,furniture,tables,12.65,11.79,3.05,1,6
William,Allen,Mental health nurse,8715355129,williamlocal@donovan.com,34426,6499300,2023-03-03,9,2023,MZZ55478-77-1A,consumables,pens,20.8,11.11,4.04,48,4
Matthew,Orozco,Research scientist (maths),+1-259-213-7449x4333,orozcomatthew@carr.com,67407,8353018,2023-03-12,10,2023,ZAM61851-20-6X,electronics,telecom,784.95,684.06,3.04,133,3
Ronald,Blair,Fitness centre manager,583.727.9335,ronald.blair@douglas.com,97577,8302019,2023-01-28,4,2023,ZUC08156-81-7X,furniture,desks,32.88,23.64,6.94,145,4
Michelle,Vang,"Librarian, academic",(964)344-9508,vang.michelle.5054@turner-smith.com,23919,3100852,2023-05-08,19,2023,ECE68439-05-8C,furniture,seating,14.82,8.82,4.43,6,5
Karen,Ellis,Animal technologist,001-821-851-4592x09341,karen.ellis.8415@ray.org,87506,8599970,2023-02-03,5,2023,BMM89645-50-6B,consumables,kitchen supplies,82.08,63.96,3.18,50,8
David,Jones,"Surveyor, building",+1-927-530-9719x974,jonesd6571@hernandez-chambers.com,35900,9765636,2023-03-12,10,2023,BAA43653-15-9C,decor,plants,184.24,116.47,4.25,451,1
Derek,Vang,Art gallery manager,242-589-4708,vangderek5677@flores.com,63691,9583806,2023-01-17,3,2023,ZAE35323-56-2C,decor,plants,91.0,83.59,3.47,5,0
Daniel,Bowman,Archaeologist,001-716-757-9724x862,danielbowman@thompson.com,72892,4567975,2023-05-01,18,2023,CBU49983-97-3B,furniture,tables,30.2,18.62,3.04,145,0
Jill,Bailey,Minerals surveyor,800-754-5081,certainly.bailey@gonzales.com,67328,2099409,2023-05-18,20,2023,UMB25052-86-5A,consumables,misc,163.28,153.75,1.52,58,5
John,Rodriguez,Chartered loss adjuster,001-878-281-2251x4992,j.rodriguez@lopez.com,73569,6642436,2023-05-05,18,2023,ZBZ97756-97-8M,decor,misc,49.64,27.06,11.14,492,3
Alyssa,Martinez,"Education officer, museum",440-527-7555,a.martinez.218@thompson.com,47752,4340663,2023-04-03,14,2023,UDU71983-12-5A,furniture,tables,196.08,145.92,2.76,659,3
Raymond,Reyes,Waste management officer,(787)628-8858,raymond.reyes.1820@myers.info,65030,3205884,2023-01-14,2,2023,BAA43653-15-9C,decor,plants,184.24,116.47,4.25,23,4
Mark,Carlson,Homeopath,+1-440-667-5569x1184,m.carlson@johnson.com,81912,6752438,2023-02-19,7,2023,EAC69857-33-3X,consumables,kitchen supplies,31.25,20.29,13.07,85,5
Seth,Thompson,Intelligence analyst,(473)358-4887,thompsons3341@garcia-barber.com,47078,1040495,2023-05-07,18,2023,DXD79314-94-6D,consumables,pens,19.26,12.91,1.9,16,5
Melanie,Murphy,Civil Service administrator,+1-207-848-8475x69824,melaniemurphy4036@spencer.com,54471,3029342,2023-02-27,9,2023,XBZ40996-40-6A,furniture,stands,342.71,291.02,14.76,512,8
Cynthia,Phillips,Retail merchandiser,(973)750-3163x709,c.phillips@erickson-stevens.com,83646,8931963,2023-02-20,8,2023,EMB15295-20-6Z,consumables,paper products,198.29,105.38,1.88,54,1
Alicia,Moore,Technical brewer,515.944.3523x1960,amoore@hill.biz,94742,1259569,2023-02-28,9,2023,DXM71952-04-8A,software,project management,3.01,2.56,2.91,21,4
Michele,Mcdonald,Emergency planning/management officer,435-931-4939x95137,mcdonaldm317@hess-jackson.com,38473,4594154,2023-03-02,9,2023,XEB85262-06-6B,consumables,kitchen supplies,26.52,14.21,1.17,272,8
Jaclyn,Morales,"Pharmacist, community",311-679-3425x03237,moralesj8623@hernandez.info,17720,2193341,2023-05-08,19,2023,EMD25345-63-4E,consumables,kitchen supplies,14.73,10.21,2.77,3,2
Phillip,Johnson,Biomedical engineer,001-691-918-3172x01673,johnsonphillip1215@roberts-hayes.com,29621,4001260,2023-03-04,9,2023,DAA84430-62-7E,consumables,bathroom supplies,4.67,2.39,10.49,60,1
Jeff,King,"Investment banker, operational",456.830.9202,king.jeff@black.org,75662,1593710,2023-05-18,20,2023,BBE61778-67-4A,consumables,bathroom supplies,1396.23,846.27,9.53,8,0
Dwayne,Bell,Chief Financial Officer,606-619-7667x9508,belld@galvan.com,24007,3569187,2023-05-24,21,2023,BZA26056-26-5E,furniture,tables,77.67,63.44,6.85,136,2
